id,val_niveltensao,idh
PICI II,230,0.734
PICOS,230,0.69
PILARZINHO,230,0.769
PIMENTA,345,0.774
PIMENTA BUENO,230,0.7
PINDAI II,230,0.691
PINHALZINHO 2,230,0.792
PIRACICABA,440,0.806
PIRAJA,230,0.691
PIRAJU,230,0.806
PIRAPAMA II,230,0.719
PIRAPORA 2,500,0.774
PIRATININGA,230,0.806
PIRATININGA 2,345,0.806
PIRINEUS,345,0.737
PIRIPIRI,230,0.69
PIRITUBA,230,0.806
PITUACU,230,0.691
PLANALTO,230,0.737
POCOES II,230,0.691
POCOES III,500,0.691
POCOS CALDAS,500,0.774
POLO,230,0.691
PONTA G NORTE,230,0.769
PONTA G SUL,230,0.769
PONTA GROSSA,500,0.769
PORTO ALEGRE8,230,0.771
PORTO ALEGRE9,230,0.771
PORTO ESTRELA,230,0.774
PORTO FRANCO,230,0.676
PORTO SERGIPE I,500,0.702
PORTO VELHO,230,0.7
PORTOALEGRE 1,230,0.771
PORTOALEGRE 4,230,0.771
PORTOALEGRE10,230,0.771
PORTOALEGRE13,230,0.771
PORTOALEGRE6,230,0.771
POSTO FISCAL,230,0.769
POVO NOVO,500,0.771
PR.FIGUEIREDO,230,0.7
PRE.MEDICI,230,0.771
QUEIMADA NOVA 2,500,0.69
QUINTA,230,0.771
QUIRINOPOLIS2,230,0.737
QUIXADA,500,0.734
QUIXERE,230,0.734
R.VERDE NORTE,500,0.737
RAM REBERT F,345,0.806
RATONES,230,0.792
REALEZA SUL,230,0.769
RECIFE II,500,0.719
REPAR,230,0.769
REPLAN,440,0.806
RESENDE,500,0.762
RESTINGA,230,0.771
RIACHAO II,230,0.698
RIB.GONCALVES,500,0.69
RIBEIRAO,230,0.719
RIBEIRAOPRETO,500,0.806
RIBEIRAOZINHO,500,0.736
RIO BRANCO I,230,0.71
RIO BRILHANTE,230,0.742
RIO CLARO 2,230,0.737
RIO DAS EGUAS,500,0.691
RIO DO SUL,230,0.792
RIO FORMOSO II,230,0.691
RIO GRANDE II,230,0.691
RIO LARGO II,230,0.684
RIO NOVO SUL,500,0.771
RIO VERDE FUR,230,0.737
RONDONOPOLIS,230,0.736
ROSANA,230,0.806
RUROPOLIS,230,0.69
RUSSAS II,230,0.734
S V PALMAR 2,500,0.771
S. DAS ALMAS II,500,0.774
S. G. DO PARA,500,0.774
S. OSORIO,230,0.769
