nom_subestacao_de,nom_subestacao_para,val_niveltensao_kv,val_comprimento,val_resistencia,val_reatancia,val_shunt,val_capacoperlongasemlimit,val_capacoperlongacomlimit,val_capacopercurtasemlimit,val_capacopercurtacomlimit
ANHANGUERA,CARAJAS,230,16.53,0.35,1.51,2.81,550,550,781,781
ANHANGUERA,CARAJAS,230,16.5,0.35,1.51,2.81,550,550,781,781
ANHANGUERA,GOIANIA LESTE,230,12.4,0.26,1.24,2.04,550,550,550,550
ASOLO 2,EDEIA,230,88,0.68,5.119,24.8,0,0,0,0
BAR.COQUEIROS,QUIRINOPOLIS2,230,52.7,0.783,4.766,9.44,810,810,995,995
BARRO ALTO,AGUAS LINDAS,230,104,1.33,9.97,17.94,714,714,900,900
BARRO ALTO,NIQUELANDIA,230,87,1.1,8.41,14.99,714,714,900,900
BARRO ALTO,NIQUELANDIA,230,87,1.287,9.068,16.03,775,775,980,980
C. DOURADA,ASOLO 2,230,91,0.699,5.261,25.5,0,0,0,0
C. DOURADA,PLANALTO,230,82,1.81,8.47,13.99,550,550,550,550
CARAJAS,PALMEIRAS,230,66.1,1.38,5.91,11.66,550,550,781,781
CARAJAS,TRINDADE,230,29,0.198,1.982,7.36,1600,1600,2030,2030
EDEIA,PALMEIRAS,230,60,0.904,5.506,10.82,810,810,995,995
FIRMINOPOLIS,PALMEIRAS,230,47.5,1.03,4.48,8.14,550,550,781,781
FIRMINOPOLIS,TRINDADE,230,83,1.276,7.6,16.88,880,880,1076,1076
GOIANIA LESTE,XAVANTES,230,27,0.58,2.69,4.48,550,550,550,550
ITAGUACU,BAR.COQUEIROS,230,46,0.3035,2.974,12.09,2050,2050,2340,2340
ITAPACI,BARRO ALTO,230,67.8,1.32,6.58,13.24,570,570,809,809
ITAPACI,BARRO ALTO,230,68,1.4025,6.5014,12.29,570,570,810,810
JATAI,R.VERDE NORTE,230,136,1.04,8.89,34.4,1680,1680,2065,2065
JATAI,R.VERDE NORTE,230,136,1.04,8.89,34.4,1680,1680,2065,2065
PARANAIBA,ITUMBIARA,230,11,0.22,1.02,1.91,570,570,809,809
PARANAIBA,ITUMBIARA,230,11,0.217,1.045,1.91,570,570,810,810
PIRINEUS,XAVANTES,230,57.21,1.06,5.29,9.66,555,555,699,699
PIRINEUS,XAVANTES,230,51.34,0.623,4.768,9.07,750,750,945,945
PLANALTO,ANHANGUERA,230,116,2.41,11.26,18.57,550,550,550,550
RIO CLARO 2,RIO VERDE FUR,230,86.6,1.873,8.833,14.77,528,528,665,665
RIO CLARO 2,RONDONOPOLIS,230,347.82,6.853,34.5,58.43,528,528,665,665
RIO VERDE FUR,BARRA PEIXE,230,240,4.947,22.813,42.63,528,528,665,665
RIO VERDE FUR,BARRA PEIXE,230,240,1.506,16.143,59.01,1428,1200,1799,1200
