nom_subestacao_de,nom_subestacao_para,val_niveltensao_kv,val_comprimento,val_resistencia,val_reatancia,val_shunt,val_capacoperlongasemlimit,val_capacoperlongacomlimit,val_capacopercurtasemlimit,val_capacopercurtacomlimit
N.P.PRIMAVERA,RIO BRILHANTE,230,139,1.103,9.336,35.77,1680,1680,1680,1680
N.P.PRIMAVERA,RIO BRILHANTE,230,137,1.119,9.612,36.94,1680,1680,2065,2065
N.P.PRIMAVERA,ROSANA,230,18.2,0.11,1.188,3.949,1240,1240,1550,1550
N.P.PRIMAVERA,ROSANA,230,18.2,0.11,1.188,3.949,1240,1240,1550,1550
PIRATININGA,INTERLAGOS,230,1.5,0.0139,0.103,0.41,962,962,1332,1200
PIRATININGA,INTERLAGOS,230,1.5,0.0139,0.103,0.41,962,962,1332,1200
S.JOSE CAMPOS,MOGI CRUZES,230,49.9,0.5097,3.7346,10.96,1722,1600,2023,1600
S.JOSE CAMPOS,TAUBATE,230,35.1,0.362,2.589,7.94,1722,1600,2023,1600
DIANOPOLIS II,GURUPI,230,256.24,1.9342,16.564,65.76,1400,1400,1750,1750
DIANOPOLIS II,PALMAS,230,245.22,1.8439,15.761,62.41,1400,1400,1750,1750
SE LAJEADO,PALMAS,230,60,0.683,4.871,9.66,785,785,980,980
SE LAJEADO,PALMAS,230,60,0.683,4.871,9.66,785,785,980,980
BRAS. SUL,SAMAMBAIA,345,12.5,0.06,0.66,11.1,1428,1428,1799,1799
BRAS. SUL,SAMAMBAIA,345,15,0.06,0.66,11.1,1428,1428,1799,1799
BRAS. SUL,SAMAMBAIA,345,12.5,0.04,0.435,7.415,1428,1428,1799,1799
JOAO NEIVA 2,VIANA 2,345,79,0.219,2.287,41.96,1430,1430,1800,1800
RIO NOVO SUL,VIANA,345,78.56,0.225,2.468,41.54,1428,1250,1799,1250
RIO NOVO SUL,VITORIA,345,104.38,0.299,3.28,55.19,1428,1200,1799,1200
VIANA,VIANA 2,345,8,0.022,0.224,1.384,1600,1600,2020,2020
VIANA,VIANA 2,345,8,0.022,0.224,1.384,1600,1600,2020,2020
VIANA,VIANA 2,345,7.5,0.022,0.241,3.9,1755,1755,2100,2100
VIANA,VITORIA,345,26,0.074,0.812,13.64,1428,1250,1799,1250
BANDEIRANTES,PIRINEUS,345,95.67,0.183,1.99,33.51,1428,1428,1799,1600
BANDEIRANTES,SAMAMBAIA,345,157,0.44,4.89,82.2,1428,1428,1799,1600
CORUMBA,BRAS. SUL,345,254,0.7,7.65,140.2,1428,1428,1799,1799
CORUMBA,ITUMBIARA,345,79,0.226,2.39,43.27,1428,1428,1799,1799
PIRINEUS,SAMAMBAIA,345,63.35,0.276,3,50.59,1428,1428,1799,1799
BARBACENA 2,LAFAIETE 1,345,62.48,0.215,1.982,32.76,1290.29,1200,1290.29,1200
BARBACENA 2,PIMENTA,345,231.04,0.647,7.163,122.5,1450.94,1170,1450.94,1170
BARBACENA 2,SANT.DUMONT 2,345,44.9,0.136,1.417,23.4,1880,1880,2240,2240
BARREIRO 1,BETIM 6,345,37.34,0.117,1.168,19.3,956,956,1358,1358
BARREIRO 1,SARZEDO,345,22.56,0.078,0.684,12.31,1298,1298,1635,1635
BARREIRO 1,TAQUARIL,345,17.6,0.05,0.57,8.809,1044,960,1363,960
BARRO BRANCO,GERDAU O.BRANCO,345,51.93,0.18,1.573,28.36,1810,1810,2160,2160
BARRO BRANCO,OURO PRETO 2,345,58,0.166,1.83,30.6,1428,1428,1799,1799
BARRO BRANCO,PADRE FIALHO,345,104,0.296,3.265,54.7,1428,1428,1799,1799
BETIM 6,NEVES 1,345,18.92,0.063,0.59,10.2,956,956,1358,1358
BETIM 6,SARZEDO,345,23,0.102,1.174,27.4,2640,2640,3150,3150
ESTREITO,FURNAS,345,112,0.329,3.561,60.34,1428,1428,1799,1799
ESTREITO,L.C.BARRETO,345,24,0.071,0.755,12.92,1428,1428,1799,1799
ESTREITO,L.C.BARRETO,345,24,0.071,0.755,12.79,1428,1428,1799,1799
ESTREITO,M. MORAES,345,15.5,0.038,0.427,6.673,1428,1428,1799,1799
FURNAS,ITUTINGA,345,198,0.65,6.46,100.8,1298,1298,1635,1635
FURNAS,M. MORAES,345,104,0.358,3.383,52.96,1298,1298,1635,1600
FURNAS,PIMENTA,345,66,0.22,2.18,33.4,1298,1298,1635,1635
FURNAS,PIMENTA,345,61.03,0.18,1.79,34.29,1894,1894,1894,1894
FURNAS,POCOS CALDAS,345,131,0.44,4.3,66.6,1298,1298,1635,1635
FURNAS,POCOS CALDAS,345,131,0.44,4.33,66.6,1298,1298,1635,1635
FURNAS,VARGINHA 4,345,157.28,0.456,4.944,83.45,1428,1428,1799,1799
GERDAU O.BRANCO,ITABIRITO 2,345,30.93,0.108,0.937,16.89,1810,1810,2160,2160
ITABIRITO 2,JECEABA,345,57.5,0.199,1.821,30.18,1290,1290,1290,1290
ITABIRITO 2,JECEABA,345,44,0.141,1.379,22.57,1880,1880,2315,2315
ITABIRITO 2,OURO PRETO 2,345,4.6,0.015,0.144,2.454,1290,1290,1290,1290
ITUMBIARA,BANDEIRANTES,345,180,0.51,5.61,95.6,1428,1428,1799,1799
ITUMBIARA,BANDEIRANTES,345,180,0.51,5.61,95.6,1428,1428,1799,1799
ITUMBIARA,MONTE ALEGRE2,345,45.44,0.121,1.44,24.13,1428,1428,1799,1799
ITUTINGA,JECEABA,345,106,0.325,3.207,58.69,1880,1880,2315,2315
ITUTINGA,JUIZ DE FORA1,345,143.63,0.4223,4.0862,73.67,1940,1940,1940,1940
ITUTINGA,VARGINHA 4,345,110.54,0.321,3.466,58.18,1428,1428,1799,1799
JAGUARA-345,L.C.BARRETO,345,23.971,0.07,0.76,12.28,1948,1755,1948,1755
JAGUARA-345,PIMENTA,345,181.86,0.507,5.685,93.69,1044,1044,1044,1044
JAGUARA-345,PIMENTA,345,182.05,0.449,5.689,93.69,1044,1044,1044,1044
JAGUARA-345,VOLTA GRANDE-SE,345,89.31,0.276,2.802,47.33,1450,1450,1870,1870
JAGUARA-500,JAGUARA-345,345,0.701,0.01,0.02,0,930,930,1088,1088
JAGUARA-500,JAGUARA-345,345,0.461,0.01,0.02,0,930,930,1088,1088
JAGUARA-500,JAGUARA-345,345,1.027,0.01,0.02,0,930,930,1088,1088
JUIZ DE FORA1,SANT.DUMONT 2,345,33.03,0.101,1.044,17.23,1880,1880,2240,2240
LAFAIETE 1,JECEABA,345,27.571,0.097,0.8,16.52,1290,1200,1290,1200
MARIMBONDO,P. COLOMBIA,345,77,0.216,2.42,40.7,1428,1200,1799,1200
MONTE ALEGRE2,P. COLOMBIA,345,155.37,0.404,4.865,81.17,1428,1428,1799,1799
MONTESCLAROS2,IRAPE-SE,345,138.477,0.42,4.23,75.9,1840,1840,1840,1840
MONTESCLAROS2,PIRAPORA 2,345,162,0.48,5.05,186,1880,1880,2240,2240
MONTESCLAROS2,VARZEA PALMA1,345,149.46,0.449,4.699,78.53,1879.37,1170,1879.37,1369
NEVES 1,SETE LAGOAS 4,345,49,0.17,1.564,25.85,1450,1450,1870,1870
NEVES 1,TAQUARIL,345,43.43,0.132,1.369,22.88,1879,1879,2198,2198
NOVA PONTE,ARAXA 3,345,115,0.304,3.173,57.2,1610,1610,2010,2010
NOVA PONTE,UBERLANDIA 10,345,58,0.152,1.578,28.35,1610,1610,2010,2010
OURO PRETO 2,NOVA LIMA 6,345,26.081,0.093,0.809,13.28,1449,1449,1869,1869
P. COLOMBIA,VOLTA GRANDE-SE,345,45,0.128,1.42,23.8,1428,1428,1799,1799
P. JUSCELINO,SETE LAGOAS 4,345,101,0.348,3.068,55.27,1810,1810,2160,2160
P. JUSCELINO,SETE LAGOAS 4,345,101,0.354,3.115,56.13,1810,1810,2160,2160
PADRE FIALHO,VITORIA,345,221,0.6153,6.866,116.6,1428,1428,1799,1799
PIMENTA,SARZEDO,345,178.34,0.673,5.828,90.77,1298,1298,1635,1635
PIMENTA,TAQUARIL,345,215.051,0.636,6.675,114.6,1430,1430,1870,1870
PIRAPORA 2,TRES MARIAS-SE,345,111.9,0.277,3.413,59.35,1750,1750,2100,2100
SANT.DUMONT 2,LEOPOLDINA2,345,92,0.277,2.882,52.95,1825,1825,2245,2245
SAO GOTARDO 2,TRES MARIAS-SE,345,166.05,0.548,5.282,86.37,1879,1879,2198,2198
SETE LAGOAS 4,BETIM 6,345,47,0.154,1.336,24.2,1810,1810,2160,2160
SETE LAGOAS 4,TRES MARIAS-SE,345,177,0.609,5.606,93.81,1450,1450,1870,1870
TAQUARIL,NOVA LIMA 6,345,31.498,0.116,1.012,16.62,1449,1449,1869,1869
TRES MARIAS-SE,VARZEA PALMA1,345,96.31,0.292,3.038,50.58,1879,1879,1879,1879
VARZEA PALMA 4,PIRAPORA 2,345,42.02,0.129,1.32,22.284,1879,1879,1879,1879
VARZEA PALMA 4,VARZEA PALMA1,345,11.6,0.036,0.367,6.183,1879,1879,1879,1879
ADRIANOPOLIS,COMPERJ,345,76.93,0.225,2.4,40.33,1428,1428,1799,1799
ADRIANOPOLIS,ITUTINGA,345,199,0.651,6.497,101.3,1298,1298,1635,1500
ADRIANOPOLIS,ITUTINGA,345,199,0.651,6.497,101.3,1428,1428,1799,1500
ADRIANOPOLIS,JACAREPAGUA,345,38,0.11,1.251,19.36,1298,1298,1635,1600
ADRIANOPOLIS,NOVA IGUACU,345,14.7,0.075,0.822,13.76,1428,1428,1799,1799
ADRIANOPOLIS,VENDA PEDRAS,345,107,0.291,2.986,54.45,1428,1428,1799,1799
CAMPOS,MACAE MERCHAN,345,89,0.256,2.863,48.91,1428,1428,1799,1799
CAMPOS,MACAE MERCHAN,345,89,0.247,2.763,47.54,1428,1428,1799,1799
CAMPOS,MACAE MERCHAN,345,90,0.258,2.726,50.87,1894,1894,1894,1894
CAMPOS,RIO NOVO SUL,345,120.58,0.345,3.79,63.74,1428,1428,1799,1200
CAMPOS,RIO NOVO SUL,345,120.58,0.346,3.79,63.81,1428,1428,1799,1250
COMPERJ,LAGOS,345,106.97,0.306,3.355,55.98,1428,1428,1799,1799
JACAREPAGUA,NOVA IGUACU,345,31.6,0.104,1.151,18.89,1428,1428,1799,1799
LAGOS,LEOPOLDINA2,345,140,0.411,4.286,79.1,1840,1840,2260,2260
LAGOS,MACAE MERCHAN,345,20.17,0.058,0.63,10.47,1428,1428,1799,1799
LAGOS,MACAE MERCHAN,345,20.48,0.06,0.624,11.08,1930,1930,2430,2430
MACAE MERCHAN,VENDA PEDRAS,345,121,0.29,3.17,65.17,1428,1428,1799,1799
ANHANGUERA,GUARULHOS,345,21.5,0.0366,0.5575,15.37,4397,4000,5172,4000
ANHANGUERA,GUARULHOS,345,21.5,0.0366,0.5575,15.37,4397,4000,5172,4000
ANHANGUERA,M. FORNASARO,345,4.5,0.0073,0.1083,3.18,4397,3000,5172,3000
ANHANGUERA,M. FORNASARO,345,4.5,0.0073,0.1083,3.18,4397,3000,5172,3000
ATIBAIA II,MOGI CRUZES,345,64.5,0.18,2.03,34.67,1428,1200,1799,1200
ATIBAIA II,POCOS CALDAS,345,142.5,0.394,4.39,74.85,1428,1428,1799,1799
B. SANTISTA,DOME.RANGONI,345,25.59,0.0841,0.7624,14.12,1526,1526,1846,1846
B. SANTISTA,SUL,345,21.275,0.0718,0.6485,11.41,1526,1526,1846,1846
B. SANTISTA,TIJUCO PRETO,345,26.5,0.0922,0.8014,14.08,1981,1981,2330,2330
B. SANTISTA,TIJUCO PRETO,345,26.1,0.0922,0.8014,14.1,1981,1981,2330,2330
BANDEIRANTES,PIRATININGA 2,345,15,0.0233,0.2694,144.9,1340,1340,1425,1425
BANDEIRANTES,PIRATININGA 2,345,15,0.0233,0.2694,144.9,1340,1340,1425,1425
CAMPINAS,GUARULHOS,345,88,0.252,2.761,46.5,1428,1428,1799,1799
CAMPINAS,POCOS CALDAS,345,126,0.359,3.945,66.7,1428,1428,1799,1799
DOME.RANGONI,TIJUCO PRETO,345,39.03,0.1339,1.2081,21.08,1526,1526,1846,1846
EMBU-GUACU,B. SANTISTA,345,46.3,0.1592,1.4225,24.94,1526,1500,1846,1600
EMBU-GUACU,SUL,345,55,0.1917,1.6989,29.71,1526,1526,1846,1846
GUARULHOS,IBIUNA,345,75,0.109,1.826,51.2,2856,2856,3598,3598
GUARULHOS,IBIUNA,345,75,0.109,1.824,51.2,2856,2856,3598,3598
GUARULHOS,NORDESTE,345,30,0.116,1.132,17.7,1298,1298,1635,1635
GUARULHOS,POCOS CALDAS,345,182,0.6,5.95,92.8,1298,1298,1635,1635
GUARULHOS,POCOS CALDAS,345,184,0.606,6.02,93.8,1298,1298,1635,1635
IBIUNA,INTERLAGOS,345,61,0.0948,1.4987,41.91,3381,3381,4397,4000
IBIUNA,INTERLAGOS,345,61,0.0948,1.4987,41.91,3381,3381,4397,4000
IBIUNA,SUL,345,80.25,0.155,2.162,49.5,2142,2142,2699,2699
IBIUNA,TIJUCO PRETO,345,97,0.187,2.602,60.1,2142,2142,2699,2699
INTERLAGOS,EMBU-GUACU,345,22.4,0.078,0.7001,11.93,1526,1526,1846,1846
INTERLAGOS,EMBU-GUACU,345,22.4,0.078,0.7001,11.93,1526,1526,1846,1846
INTERLAGOS,PIRATININGA 2,345,0.715,0.002,0.022,0.6,2200,2200,2590,2590
INTERLAGOS,PIRATININGA 2,345,0.715,0.002,0.022,0.6,2200,2200,2590,2590
INTERLAGOS,XAVANTES,345,7.4,0.012,0.182,5.01,4397,4000,5144,4000
INTERLAGOS,XAVANTES,345,7.4,0.012,0.182,5.01,4397,4000,5144,4000
ITAPETI,MOGI CRUZES,345,5.2,0.02,0.16,2.661,1526,1526,1846,1846
ITAPETI,MOGI CRUZES,345,5.2,0.02,0.16,2.661,1526,1526,1846,1846
ITAPETI,NORDESTE,345,29,0.087,0.919,18,2260,2260,2260,2260
ITAPETI,SANTO ANGELO,345,13.2,0.0462,0.4023,7.33,1526,1500,1846,1600
ITAPETI,SANTO ANGELO,345,13.2,0.0462,0.4023,7.33,1526,1500,1846,1600
ITAPETI,TIJUCO PRETO,345,21.4,0.0742,0.6448,11.34,1981,1981,2330,2330
ITAPETI,TIJUCO PRETO,345,21.4,0.0742,0.6448,11.34,1981,1981,2330,2330
ITAPETI,TIJUCO PRETO,345,21,0.06,0.63,12.84,2260,2260,2260,2260
ITAPETI,TIJUCO PRETO,345,21,0.06,0.63,12.84,2260,2260,2260,2260
L.C.BARRETO,POCOS CALDAS,345,198,0.56,6.16,105.3,1428,1428,1799,1799
L.C.BARRETO,POCOS CALDAS,345,197,0.55,6.13,107.7,1428,1428,1799,1799
L.C.BARRETO,VOLTA GRANDE-SE,345,112,0.32,3.509,59.2,1428,1428,1799,1799
LESTE,RAM REBERT F,345,5.9,0.01,0.15,4.127,4397,2000,5144,2000
LESTE,RAM REBERT F,345,5.9,0.01,0.15,4.127,4397,2000,5144,2000
LESTE,TIJUCO PRETO,345,30,0.1066,0.9279,16.08,1526,1526,1846,1846
LESTE,TIJUCO PRETO,345,30,0.1066,0.9279,16.08,1526,1526,1846,1846
LESTE,TIJUCO PRETO,345,29.9,0.1089,0.973,17.07,1526,1526,1846,1846
MIGUEL REALE,S.CAETANO SUL,345,7.8,0.013,0.124,70.6,740,740,1255,1255
MIGUEL REALE,S.CAETANO SUL,345,7.8,0.013,0.124,70.6,740,740,1255,1255
MOGI CRUZES,NORDESTE,345,20,0.067,0.66,10.1,1298,1298,1635,1635
NORTE,GUARULHOS,345,5,0.01,0.13,3.59,5268,3000,6164,3000
NORTE,GUARULHOS,345,5,0.01,0.13,3.59,5268,3000,6164,3000
NORTE,MIGUEL REALE,345,14.8,0.05,0.31,162.4,754,754,754,754
NORTE,MIGUEL REALE,345,14.8,0.05,0.31,162.4,754,754,754,754
SUL,S.CAETANO SUL,345,14.1,0.017,0.203,129.2,910,910,1435,1435
SUL,S.CAETANO SUL,345,14.1,0.017,0.203,129.2,910,910,1435,1435
SUL,TIJUCO PRETO,345,34.72,0.068,0.944,21.2,2142,2142,2699,2699
XAVANTES,BANDEIRANTES,345,8.5,0.01,0.18,116.8,1138,1138,1138,1138
XAVANTES,BANDEIRANTES,345,8.5,0.01,0.18,116.8,1138,1138,1138,1138
XAVANTES,BANDEIRANTES,345,8.5,0.01,0.18,116.8,1138,1138,1138,1138
XAVANTES,M. FORNASARO,345,15.657,0.0252,0.3767,11.01,4397,2000,5172,2000
XAVANTES,M. FORNASARO,345,15.657,0.0252,0.3767,11.01,4397,2000,5172,2000
AGUA AZUL,BOM JARDIM,440,118.2,0.1114,1.4243,87.42,2664,2000,3212,2400
AGUA AZUL,SANTO ANGELO,440,1.2,0.0427,0.5496,33.34,2664,2000,3212,2000
AGUA VERMELHA,ARARAQUARA CTP,440,308.5,0.4224,5.3734,292.2,2664,2000,3212,2000
AGUA VERMELHA,RIBEIRAOPRETO,440,322.9,0.4282,5.6322,305.4,2664,2000,3212,2000
ALTA PAULISTA,MARECH.RONDON,440,147,0.202,2.476,138.44,3444,3444,4044,4000
ALTA PAULISTA,TAQUARUCU,440,164,0.227,2.789,159.16,3444,3000,4044,3000
ARARAQUARA 2,ARARAQUARA CTP,440,15,0.01,0.177,10.49,2189,2189,3550,3550
ARARAQUARA 2,ARARAQUARA CTP,440,15,0.01,0.178,10.54,2189,2189,3550,3550
ARARAQUARA 2,ARARAQUARA CTP,440,11,0.011,0.187,12.4,2190,2190,3550,3550
ARARAQUARA CTP,ARARAS,440,107.6,0.1381,1.7096,110.4,2664,2000,3212,2000
ARARAQUARA CTP,MIRASSOL II,440,165.3,0.2197,2.6211,169.6,2664,2664,3212,2740
ARARAQUARA CTP,MIRASSOL II,440,165.3,0.2197,2.6211,169.6,2664,2000,3212,2000
ARARAQUARA CTP,MOGI MIRIM 3,440,166.5,0.2125,2.6308,170.2,2664,2000,3212,2000
ARARAQUARA CTP,PIRACICABA,440,122.6,0.1615,2.0916,118.8,2664,2000,3212,2400
ARARAS,REPLAN,440,56.2,0.0724,0.8914,57.68,2664,2000,3212,2000
ASSIS,BAURU,440,137.6,0.1853,2.3543,132.7,2664,2000,3212,2000
ASSIS,SUMARE,440,332,0.4322,5.4916,309.5,2540,2540,2540,2540
BAGUACU,BAURU,440,179,0.235,2.81,181.9,2664,2000,3212,2000
BAGUACU,BAURU,440,179,0.235,2.81,181.9,2664,2000,3212,2000
BAGUACU,ILHA SOLTEIRA,440,147,0.193,2.324,151.74,2664,2120,3212,2332
BAGUACU,ILHA SOLTEIRA,440,147,0.193,2.324,151.74,2664,2120,3212,2332
BAURU,ARARAQUARA CTP,440,103.7,0.1334,1.7177,104,2664,2000,3212,2000
BAURU,BRACELL,440,51.6,0.065,0.776,50.404,2664,2000,3212,2000
BAURU,CABREUVA,440,235.2,0.3008,3.7503,242.7,2664,2000,3212,2000
BAURU,GETULINA,440,91,0.1166,1.455,94.12,2664,2664,3212,3000
BAURU,GETULINA,440,91,0.1166,1.455,94.12,2664,2664,3212,3000
BAURU,OESTE,440,227.8,0.291,3.608,233.52,2664,2000,3212,2000
BAURU,SALTO,440,220,0.2806,3.4982,226.4,2664,2000,3212,2000
BOM JARDIM,FERNAO DIAS,440,54.24,0.078,0.961,57.56,2664,2000,3212,2000
BRACELL,OESTE,440,186.4,0.245,2.954,193.94,2664,2000,3212,2600
CABREUVA,BOM JARDIM,440,24,0.0308,0.3863,24.46,2664,2000,3212,2000
CABREUVA,GERDAU SP,440,18.4,0.024,0.31,18.57,2664,2000,3212,2400
CABREUVA,SALTO,440,18.1,0.021,0.2616,16.94,2664,2000,3212,2000
CAPIVARA,ASSIS,440,106.91,0.144,1.8294,103.1,2664,2664,3212,3000
CBA2 CIA.B.ALUM,EMBU-GUACU,440,63.47,0.0802,0.9943,64.36,2664,2000,3212,2000
CBA2 CIA.B.ALUM,OESTE,440,19.1,0.0234,0.2902,18.78,2664,2000,3212,2000
EMBU-GUACU,JANDIRA,440,40.3,0.053,0.668,40.38,2664,2000,3212,2000
EMBU-GUACU,OESTE,440,81.02,0.1028,1.2749,82.53,2664,2000,3212,2000
EMBU-GUACU,SOLVAY,440,39.6,0.0661,0.8188,49.61,2664,2000,3212,2000
FERNAO DIAS,TAUBATE,440,98.25,0.132,1.628,96.93,2664,2000,3212,2000
GERDAU SP,JANDIRA,440,29.8,0.0395,0.4939,29.84,2664,2664,3212,3000
GETULINA,JUPIA,440,221,0.2816,3.5155,227.4,2664,2000,3212,2000
GETULINA,MARECH.RONDON,440,223,0.284,3.5414,228.9,2664,2664,3212,3150
ILHA SOLTEIRA,AGUA VERMELHA,440,142.1,0.1945,2.4743,136.8,2664,2000,3212,2000
ILHA SOLTEIRA,IL.SOLTEIRA 2,440,9.04,0.008,0.109,7.136,3446,3446,4044,4044
ILHA SOLTEIRA,IL.SOLTEIRA 2,440,9.04,0.008,0.109,7.136,3446,3446,4044,4044
ILHA SOLTEIRA,MIRASSOL II,440,211.7,0.2813,3.3568,217.3,2664,2120,3212,2332
ILHA SOLTEIRA,MIRASSOL II,440,211.7,0.2813,3.3568,217.3,2664,2120,3212,2332
ILHA SOLTEIRA,TRES IRMAOS,440,49.2,0.0625,0.795,49.25,2664,2000,3212,2000
ILHA SOLTEIRA,TRES IRMAOS,440,38,0.048,0.61,36.86,2665,2665,3215,3215
JUPIA,MARECH.RONDON,440,5.9,0.0084,0.099,5.96,2664,2000,3212,2000
JUPIA,MARECH.RONDON,440,5.9,0.008,0.0957,5.79,3444,2000,4044,2000
JUPIA,TRES IRMAOS,440,43.7,0.0561,0.712,44.23,2664,2000,3212,2000
MOGI MIRIM 3,SANTO ANGELO,440,180.7,0.2309,2.8575,184.8,2664,2000,3212,2000
P. PRIMAVERA,N.P.PRIMAVERA,440,1,0.002,0.021,0,2600,2600,2600,2600
P. PRIMAVERA,N.P.PRIMAVERA,440,1,0.002,0.021,0,2600,2600,2600,2600
P. PRIMAVERA,TAQUARUCU,440,113.2,0.153,1.936,108.7,2517,2517,2674,2600
P. PRIMAVERA,TAQUARUCU,440,116.6,0.157,1.994,108.7,2517,2517,2674,2600
PIRACICABA,SANTA BARBARA,440,22.5,0.0308,0.3934,22.59,2664,2000,3212,2000
REPLAN,SANTO ANGELO,440,138.3,0.1775,2.1931,141.9,2664,2000,3212,2000
RIBEIRAOPRETO,SANTA BARBARA,440,173.3,0.2299,3.0238,164,2664,2000,3212,2000
SANTA BARBARA,SUMARE,440,21.1,0.0287,0.3587,20.24,2664,2000,3212,2000
SANTO ANGELO,SOLVAY,440,37,0.0382,0.4723,28.63,2664,2000,3212,2000
SUMARE,BOM JARDIM,440,46.6,0.065,0.801,45.74,2664,2000,3212,2000
TAQUARUCU,ASSIS,440,173.35,0.2386,3.0313,170.8,2540,2540,2540,2540
TAQUARUCU,CAPIVARA,440,68.8,0.092,1.187,66.94,2664,2000,3212,2000
MESSIAS,SUAPE II,500,175.7,0.18,2.17,234.5,2524,2500,3180,2500
USINA XINGO,ANGELIM II,500,197,0.206,2.525,261.9,1155,1155,1732,1732
USINA XINGO,JARDIM,500,159.7,0.15,1.97,213.1,2524,2500,3180,2500
USINA XINGO,JARDIM,500,161.39,0.165,2.006,212.6,2525,2525,3180,3180
USINA XINGO,MESSIAS,500,218.9,0.21,2.78,279.8,2524,2500,3180,2500
SILVES,LECHUGA,500,244,0.165,2.376,354,3140,3140,3920,3920
SILVES,LECHUGA,500,244,0.165,2.376,354,3140,3140,3920,3920
BARREIRAS II,BURITIRAMA,500,209.7,0.113,1.587,457.8,2880,2880,4000,4000
BARREIRAS II,GILBUES II,500,312,0.163,2.331,684.3,3375,3375,4000,4000
BARREIRAS II,RIO DAS EGUAS,500,239.27,0.122,1.758,530.3,4780,4780,6020,6020
BARREIRAS II,RIO DAS EGUAS,500,251,0.134,1.889,549.4,2880,2880,4000,4000
BOM.JES.LAPA II,GENTIO OURO II,500,271,0.142,2.047,588.8,4000,4000,4000,4000
BOM.JES.LAPA II,GENTIO OURO II,500,271,0.142,2.047,588.8,4000,4000,4000,4000
BOM.JES.LAPA II,IGAPORA III,500,127.7,0.085,1.388,198.8,2300,2300,2300,2300
BOM.JES.LAPA II,JANAUBA 3,500,304,0.161,2.305,677.65,2950,2950,4000,4000
BURITIRAMA,GENTIO OURO II,500,175.3,0.119,1.885,269.1,3420,3420,4205,4205
BURITIRAMA,GILBUES II,500,192.1,0.13,2.061,295.1,3420,3420,4205,4205
BURITIRAMA,QUEIMADA NOVA 2,500,372.6,0.1901,2.7461,824.82,2880,2880,4000,4000
BURITIRAMA,QUEIMADA NOVA 2,500,372.6,0.1902,2.75,824.4,2880,2880,4000,4000
CAMACARI II,CAMACARI IV,500,0.26,0.001,0.03,0.488,2524,2524,3180,3180
CAMACARI II,SAPEACU,500,106,0.1074,1.3309,135.4,1500,1500,1500,1500
CAMACARI IV,JARDIM,500,249.5,0.2304,3.155,322.9,2524,2524,3180,3180
CAMACARI IV,SAPEACU,500,105,0.1048,1.2657,135.2,2755,2755,3770,3770
FUTURA,U.SOBRADINHO,500,34.72,0.038,0.445,44.36,2524,2500,3180,2500
GENTIO OURO II,OUROLANDIA II,500,157,0.106,1.657,233.1,3420,3420,4205,4205
IBICOARA,IGAPORA III,500,174.2,0.131,1.899,269.7,2300,2300,2300,2300
IBICOARA,POCOES III,500,164,0.091,1.263,353.7,2890,2890,3465,3465
IBICOARA,SAPEACU,500,257,0.197,2.801,393.4,2300,2300,2300,2300
IGAPORA III,JANAUBA 3,500,257,0.136,1.884,533.8,2950,2950,4000,4000
IGAPORA III,S. DAS ALMAS II,500,105.35,0.058,0.805,229,4000,4000,2950,2950
JEREMOABO,OLINDINA,500,128,0.13,1.617,165.1,2524,2500,3180,2500
JEREMOABO,P. AFONSO IV_SE,500,84,0.087,1.07,108.4,2524,2500,3180,2500
JUAZEIRO III,FUTURA,500,32.52,0.035,0.415,41.41,2524,2524,3180,3180
JUAZEIRO III,OUROLANDIA II,500,186,0.127,1.995,284.2,2080,2080,2490,2490
JUAZEIRO III,U.SOBRADINHO,500,35.8,0.038,0.456,45.811,2500,2500,3150,2500
JUAZEIRO III,US. L.GONZAGA,500,280.86,0.278,3.536,365.2,2500,2500,3180,2500
JUAZEIRO III,US. L.GONZAGA,500,256,0.25,3.2,327.7,2500,2500,3180,2500
MEDEIROS NETOII,JOAO NEIVA 2,500,283,0.147,2.067,599.9,2890,2890,4000,4000
MORRO CHAPEU II,OUROLANDIA II,500,125,0.066,1.024,144,3420,3420,4205,4205
MORRO CHAPEU II,POCOES III,500,359,0.1752,2.4988,737.73,2890,2890,4000,4000
MORRO CHAPEU II,POCOES III,500,335.78,0.178,2.531,747.3,4000,4000,4000,4000
MORRO CHAPEU II,SAPEACU,500,271.3,0.183,2.892,438.9,3070,3070,3870,3870
OLINDINA,CAMACARI II,500,147.2,0.2,1.88,195,1508,1508,2141,2141
OLINDINA,CAMACARI II,500,146.9,0.15,1.9,192.5,2524,2500,3180,2500
OLINDINA,SAPEACU,500,207,0.128,1.996,289.2,3000,3000,3700,3700
OLINDINA,US. L.GONZAGA,500,248.5,0.31,3.1,324.3,1508,1508,2141,2141
P. AFONSO IV_SE,ANGELIM II,500,221.5,0.22,2.79,284.6,2524,2500,3180,2500
P. AFONSO IV_SE,US. L.GONZAGA,500,37.4,0.04,0.47,46.42,2524,2500,3180,2500
P. AFONSO IV_SE,US. L.GONZAGA,500,38.42,0.039,0.477,50.63,2525,2525,3180,3180
P. AFONSO IV_SE,USINA XINGO,500,53.8,0.05,0.68,67.4,2524,2500,3180,2500
POCOES III,MEDEIROS NETOII,500,329,0.167,2.3624,692.89,2890,2890,4000,4000
POCOES III,SAPEACU,500,245.83,0.132,1.8574,537.3,2890,2890,4000,4000
